[SLM] resuming from existing checkpoint: /Users/ravindrasingh/Documents/AI-Agents/PikuAI/pikuai-gaurdrails/models/piku-slm-guardrail-smollm2-135m/pytorch_model.bin
[SLM] training start: device=mps train_rows=79520 dev_rows=9933 batch_size=2 max_length=128 freeze_backbone=True resume_if_available=True
[SLM] epoch 1/1 start
[SLM] epoch 1 batch 4500/39760 loss=3.3782
[SLM] epoch 1 batch 4525/39760 loss=4.5960
[SLM] epoch 1 batch 4550/39760 loss=10.7316
[SLM] epoch 1 batch 4575/39760 loss=2.6275
[SLM] epoch 1 batch 4600/39760 loss=3.7457
[SLM] epoch 1 batch 4625/39760 loss=6.4578
[SLM] epoch 1 batch 4650/39760 loss=2.7203
[SLM] epoch 1 batch 4675/39760 loss=6.4019
[SLM] epoch 1 batch 4700/39760 loss=3.5980
[SLM] epoch 1 batch 4725/39760 loss=3.3444
[SLM] epoch 1 batch 4750/39760 loss=17.7225
[SLM] epoch 1 batch 4775/39760 loss=3.0937
[SLM] epoch 1 batch 4800/39760 loss=4.9218
[SLM] epoch 1 batch 4825/39760 loss=2.8163
[SLM] epoch 1 batch 4850/39760 loss=4.0623
[SLM] epoch 1 batch 4875/39760 loss=6.3566
[SLM] epoch 1 batch 4900/39760 loss=3.5691
[SLM] epoch 1 batch 4925/39760 loss=3.8343
[SLM] epoch 1 batch 4950/39760 loss=5.6252
[SLM] epoch 1 batch 4975/39760 loss=7.0607
[SLM] epoch 1 batch 5000/39760 loss=2.7926
[SLM] epoch 1 batch 5025/39760 loss=3.5510
[SLM] epoch 1 batch 5050/39760 loss=11.2945
[SLM] epoch 1 batch 5075/39760 loss=5.9568
[SLM] epoch 1 batch 5100/39760 loss=3.3191
[SLM] epoch 1 batch 5125/39760 loss=4.6693
[SLM] epoch 1 batch 5150/39760 loss=2.4464
[SLM] epoch 1 batch 5175/39760 loss=3.1580
[SLM] epoch 1 batch 5200/39760 loss=2.5150
[SLM] epoch 1 batch 5225/39760 loss=7.6335
[SLM] epoch 1 batch 5250/39760 loss=3.4734
[SLM] epoch 1 batch 5275/39760 loss=3.4622
[SLM] epoch 1 batch 5300/39760 loss=3.9268
[SLM] epoch 1 batch 5325/39760 loss=3.1757
[SLM] epoch 1 batch 5350/39760 loss=4.4246
[SLM] epoch 1 batch 5375/39760 loss=3.4510
[SLM] epoch 1 batch 5400/39760 loss=3.2110
[SLM] epoch 1 batch 5425/39760 loss=11.6604
[SLM] epoch 1 batch 5450/39760 loss=4.6580
[SLM] epoch 1 batch 5475/39760 loss=3.0160
[SLM] epoch 1 batch 5500/39760 loss=4.9093
[SLM] epoch 1 batch 5525/39760 loss=3.2770
[SLM] epoch 1 batch 5550/39760 loss=17.1256
